,TITLE,DATE,RATING,REVIEW
99,bachelorette party incredible service location view,2022 - 07,5,sister throw bachelorette surprise staycation fullerton able stay iconic beautiful heritage hotel amazing really impressed well take care sister tell shazwan fullerton go way make sure surprise wellorchestrate make book even checkin many little surprise hotel really demonstrate considerate attentive shazwan make surprise staycation memorable good time look forward come back another stay future
100,amazing staycation,2022 - 07,5,soo thankful stay fullerton everything well take care special shoutout shazwan make stay really pleasant hospitality sweet disposition family really appreciate attention detail make hotel stay well one hand thank
101,payment issue resolve,2022 - 06,3,previous review delete order make upate review share wrongly bill charge 2 time original amount 3d2n stay palladian suite call clarify hotel respond via call 2 day front office manager darshan lionel though would appreciate call make much early would like thank darshan address payment issue give direct number contact try expedite refund also follow message check status refund refund make darshan offer family complimentary dinner buffet town restaurant compensate unpleasant experience professional manage case helpful sure family would want book stay fullerton thankful matter resolve inconvenience face due overcharge bill credit card bad experience mistake hotel make hope customer face similar issue wrongly bill
102,great location room quality,2022 - 06,5,hotel amazing location view marina sand easy walkability many riverside restaurant service impeccable room well service maintain breakfast lot variety tasty would definitely stay next time singapore
103,decent stay,2022 - 07,4,partner book quay room get upgrade thank stay one night marina bay view roomthe room decent size balcony enjoy pool spa facility lot breakfast spread decent back near future
104,family staycation june 2022,2022 - 06,5,wonderful girl love husb love massage importantly staff helpful friendly especially lucy hope remember name correctly 6yo completely awe high tea evening cocktail fantastic highly recommend
105,underwhelme,2022 - 06,3,disappointing expect nothing excellent service underwhelme whole experience full day come back uncleaned rook take 45 minute resolve one inform finish chase staff find could go back room
106,welcome good service,2022 - 07,5,second time stay overall experience pleasant family enjoy stay staff friendly provide good service breakfast buffet variety dish definitely worth
107,good hardware room improve software,2022 - 07,4,second stay hotel last year stay way well year feel like lack warmth staff service 5 star expect hotel fantastic job maintain hotel much staff
108,good,2022 - 06,5,think good service hotel quality room service infinity pool good location hotel also good would like thank staff work hotel hospitality kindness
109,singapore trip,2022 - 07,5,fault hotel accommodation cleanliness excellent problem room service finish 11 pm get coffee foyer 5pmbreakfast good drawback coffee machine ask fresh cup table
110,room toilet beautiful,2022 - 06,4,toilet favourite feature toilet seat open automatically sense near toilet seat power hot remote control pressure water hot also bathtub spacious
111,great old dame great location,2022 - 06,4,great location room good condition well clean friendly staff member access strait club main dining area less offer strait club breakfast also offer afternoon tea predinner cocktail would nice great range drink etc offer around pool recommend return
112,comfortable luxurious hotel,2022 - 07,5,experience fullerton hotel nothing short perfection checkin relatively easy arrive room amaze every aspect comfort comfysized room bed bathroom nespresso machine harman kardon speaker power adapter fit almost plug need
113,great service,2022 - 06,5,staff upon arrival super helpful approach even make front desk room clean spacious staff friendly entire process even pool breakfast
114,great experience,2022 - 06,5,love whole experience excellent service overall cleanliness room visit pool enjoyable would love visit hotel would recommend family friend
115,pleasant stay,2022 - 06,4,good location clean hotel friendly staff big room bathroom give cake celebrate anniversary nice personal touch hotel find pillow soft like
116,perfect,2022 - 06,5,hotel comfortable clean place stay also staff friendly kind great location easy go anywhere night view also perfect highly recommend hotel visit singapore
117,great historic hotel,2022 - 06,5,mouth singapore buzzing area beautiful iconic hotel large lobby area restaurant one end look riverboat quay large bar whiskey focus small shop friendly staff small history area singapore really interesting
118,excellent hotel,2022 - 06,5,stay wonderful pleasant excellentall staff helpful friendly provide excellent customer service really enjoy stay definitely go back stay next time
119,good great,2022 - 06,4,5 star yet 4 star maybe 3 star plus sure much room improvement many keen competitor around need stand crowd attention detail small thing make stand crowd
120,staycation,2022 - 06,5,great location hotel ambience great friendly great service hotel staff breakfast food plenty selection tasty nice view hotel room also swim pool overall great staycation family
121,back thumb picture,2022 - 06,5,trip somewhat last minute event wedding booking first time stay fullerton let alone premium establishment say truly impressed enjoy stay definitely worth every penny back stay next time visit singapore
122,decent hotel good location,2022 - 06,4,room nice albeit expensive esplanade room surprise price lounge access staff seem little slow less attentive use hong kong
123,tampon front attention detail negliable,2022 - 06,1,start full disclosure honest stay apart ht amex promotion offer free night take strike first useless doorman understand watch take bag car problem watch something find uncomfortable see check ask upgrade check amex promotion offer internal courtyard room room outdoor area offer esplanade room 50 offer collyer quay suite 300 take former promise outside aea wow solid brick wall front window believe comment believe guest ask th9ng front window beware view sad thing upsold dream deliver dud strait club fine everything ok finally upon checkout like hotel find see thay try wingle every cent suite promise 2 piece free press give hotel suit check laundry charge sgd30 alongside suite upgrate ask swiftly take away hotel calliabrethis unacceptable asking need ask attention detail vs revenue raise also huge problem 247 room service live singapore tuere people would like warm meal unreasonable hour ask tell need use grab kitchen close point stay fullerton holiday finally ther ewere tampon front hotel express lack attention detail exemplie hard see shcoke attach photo colour shall leave condorm front hotel next time
124,love stay,2022 - 06,5,splendid stay fullerton hotel honeymoon service great room fantastic look forward book another stay fullerton hotel soon last stay thank
125,staycation,2022 - 06,5,short enjoyable staycation iconic hotel centrally locate close main attraction comfortable room well equip clean quiet staff calm friendly polite professional enjoy buffet dinner town restaurant
126,amazing hotel location,2022 - 06,4,everything five star staff amazing location good room clean big comfortable room improvement breakfast ok could decently well meet rest hotel standard
127,normal experience,2022 - 06,4,pro classic vintage design hotel make feel old day singapore marina bay view room balcony observe night view marina bay cons cleanlinessdust could find cabinet price bit overprice whole experience stay
128,superb heritage hotel,2022 - 06,5,great hotel excellent location close marina bay thecbd vey helpful friendly staff bedroom well appoint bed comfortable breakfast buffet option quality food offer good
129,five day fun singapore,2022 - 06,5,wife spend 5 day midjune lot history decor attractive reflect high stand iconic building well locate short walk taxi ride many thing place singapore highlight strait club super people look lucy jar name recall though everyone club superb sea river view room good courtyard room much view one criticism rather dark corridor breakfast excellent omelette chef especially good stay certainly ask river view go member strait club lovely canap drink exceptionally fine staff help kind thing advice booking copy much else fine place stay
130,nice trip,2022 - 06,5,good experience child stay june holiday staff friendly helpful like hotel environment much elegant tasteful child enjoy even want leave
131,beautiful heritage hotel,2022 - 06,5,stay premier collyer suite strait club benefit 65 sqm room beautiful spacious living area luxurious bedroom bathroom strait club benefit come champagne breakfast afternoon tea evening canap cocktail service good however spread food could improve
132,luxury taste,2022 - 06,5,beautiful hotel wellappointe taste decor staff friendly willing help pool stun beautiful outlook river city view would definitely stay comparable mbs tasteful appointment room
133,enjoy stay amazing accommodation service strait club,2022 - 06,5,staff extremely accommodate polite nichola go beyond help administrative matter well enjoyable time would definitely come back
134,excellent hotel,2022 - 06,5,excellent experience would highly recommend anyone look 5 star experience singapore staff helpful friendly time location hotel provide easy access much city main attraction
135,wonderful local staycation,2022 - 06,5,marvellous bring child along 12yr old facility child friendly complimentary bed child 12 marina bay view room beautiful pool face boat quay another nice view pool night warm
136,wonderful service beautiful setting,2022 - 06,5,everyone hotel super attentive friendly efficient room always impeccably clean love breakfast buffet especially local food nasi lemak laksa course usual staple full english breakfast stay almost two week towards end everyone call name chance use pool really unique swim evening right next singapore river watch light come several take different room type room amazing heritage hotel fullerton manage retain old world atmosphere modern convenience good world could recommend high
137,hotel review,2022 - 06,5,esplanade room good size family staycation unfortunately plant outside block beautiful view view marina bay room impeccable good service overall definitely recommend esplanade room family spacious nice
138,lovely stay,2022 - 06,5,much need mini vacation flight move overseas australia europe staff attentive welcoming feel well take care location great many top sight walkable marina bay view room lovely view bay watch light show balcony two night row would definitely stay long period time think visit singapore would recommendation
139,experience,2022 - 06,5,one night stay 1819 june 2022 fullerton hotel moment step within 50 metre hotel could feel one go different since last step hotel ever since ahem ahem know everything fullerton make feel like travel scene never leave place lively lobby fill people lounge almost full house even short queue front desk really short wait alarm hahaha front office agent able answer every need query raise course expect check process super efficient elevator room minutes room service super quick phone call pick within 3 ring get ask five star experience facility amenitie hotel also surprise techoriente gym facility good view singapore river swimming pool sun setting must say good afternoon indeed oh mention bed super comfortable yes usually fall asleep easily I away bed hey know magic fullerton cast onto mattress work like magic try read make decision fullerton one say would life change experience decide use express check option go front desk say bye front office agent another good decision make I make stay agent friendly keep check everything perfect whether good night sleep importantly ask twice 3 time give parking coupon3 different person ask course really impress service culture deeply root every single person I meet stay moment arrive fullerton moment step iconic revolve door one time every single interaction people fullerton could describe one word wow thank team fullerton one memorable stay I long long time would definitely back
140,anniversary celebratory staycation,2022 - 06,5,memorable wedding anniversary staycation fullerton hotel longawaite yet familiar experience breakfast buffet range food choice sufficient good quality look forward return local breakfast set soon touch personal care give team fullerton hotel make celebration even magical
141,fabulous location,2022 - 06,4,beautiful hotel although little tired area great location room lovely clean great bed linen pillow club access average room seem like afterthought food selection disappointing staff excel breakfast good nothing special could change local signature dish day swim pool lounge area cramp overall lovely hotel
142,great staycay,2022 - 06,5,lovely extend family staycay old folk adult teen great hotel service staff courtyard room spacious clean bathroomtoilet clean big featherdown pillow get bit soft time stack toiletry amenity provide good gym lack weight equipment pool averagesize rectangle good chill orangelemoninfuse drink water provide poolside kid 12 get daily free scoop ice cream meal bit expensive also lot dine option vicinity easy walk distance promenade across mbs artscience museum phototake short walk merlion park hotel also across cavenagh bridge asian civilisations museum victoria concert hall situate central business district near bank office mrt well back next staycay
143,memorable stay,2022 - 06,5,service provide fullerton hotel impeccable impressed hospitality show fullerton staff anne team accommodate need prepared wedding well take care wonderful time view governer suite impressive amazing allow bird eye view city skyline appreciate complimentary upgrade allow photographer capture beautiful photo overall good time hope back soon
144,perfect family stacay 3rd time,2022 - 06,5,usual service staff friendly efficient throughout check check get marina bay view room beautiful kid love hotel much like 3rd time recall correctly staycay plenty around area
145,good stay,2022 - 06,5,thank staff assist allow early check due rom date day happy friendly helpful service stay get stay promotion worth stay
146,2nd staycation 6 month,2022 - 06,5,room spacious 3 previously fullerton street view time room inner wing request toiletry 3rd person take quite long claim busy weekday afternoon overall relaxing experience allocate near family young child internet connection reliable could work study time
147,excellence service fullerton hotel,2022 - 06,5,enjoy excellent service hotel front counter staff try well find great room warm hitea staff courtyard within fullerton hotel back 5th stay
148,birthday treat,2022 - 06,5,celebrate 60th birthday check breeze efficient staff surprise bunch birthday balloon fullerton teddy bear yummy chocolate cake hotel nostalgic many portrait painting walkways room overlook singapore river beautiful definitely wonderful stay come back sure
149,stay,2022 - 06,5,wonderful 7 night stay marina bay room excellent view harbour staff wonderful nothing much trouble buffet breakfast relax wide variety choice hotel beautiful historic building room well appoint location marina lot see would recommend boat quay area dinner
150,staycation,2022 - 06,5,book marina bay view room promo complimentary night thus book 3days 2 night view see merlion float platform happen 1st rehearsal althot firework see many rehearsal air sea show day
151,great hotel,2022 - 06,5,service staff excellent bedding comfortable location excellent staff friendly especially front desk concierge price bit high though definitely recommend
152,home away home,2022 - 06,5,though room available 4ish staff well compensate late checkout assign corner room slightly spacious room overlook bridge beside pool convenient staff encounter polite helpful room decor chic clean thankful complimentary roll away bed kid bathroom huge tub big good depth good soak location hotel also good plenty eatery within walk distance wish could stay long back
153,overnight stop break journey,2022 - 06,5,exceptional service stay lovely quiet room overlook internal courtyard hotel within walk distance many tourist area even two 70 year old like husband staff friendly helpful front desk would definitely recommend fullerton
154,memorable insightful heritage stay,2022 - 06,5,take monument tour provide lot historical background hotel begin allow great appreciation see stay heritage room 2nd floor keep original since begin beautiful
155,staycation fullerton hotel high tea courtyard,2022 - 06,5,lakikuma team manager fabian team attentive provide enjoyable experience family high tea courtyard also kudo staff sharon team fullerton hotel make stay memorable one celebrate 13th anniversary enjoy tour learn much history fullerton singapore room clean great amenity provide well deserve fivestar luxury hotel
156,fullerton hotel june 2022,2022 - 06,5,excellent hotel historic building every room seem unique room lot character main lobby location great food excellent lot choose staff friendly professional time
157,wonderful strait club experience,2022 - 06,5,kid always love staycation fullerton hotel time book pallidium suite celebrate wedding anniversary hubby dedicate checkin level 4 suite book breakfast afternoon tea evening cocktail stay enjoyable room clean amenity need stay issue sofabe comfortable little squeaky haha special mention 2 staff strait club lucy siti amazing customer service lucy kids favourite auntie first time kid come tell kind wonderful particular service crew person lucy lucy personalise merticulous approachable service level attentiveness top notch one well ever see one example great service daughter masks loop break ask ask mask reception lucy clear another table overhear conservation come offer get another new mask awww another service crew siti also commendable friendly never fail brighten day smile energy level well keep wonderful work lucy siti
158,good location stay service,2022 - 06,4,able feel welcome hotel fully book 200 credit give eat restaurant fun could book restaurant finally send lantern rooftop bar nasty food happy
159,overall good experience except dine reservation,2022 - 06,4,stay good overall except dine reservation issue want make dinner reservation jade 3 week ahead time celebrate family birthday call tell go online online say online booking possible call instead call tell jade available private function totally customerfriendly dining reservation person also impatient hope improve
160,complimentary upgrade fullerton suite,2022 - 06,5,never life family experience staycation hotel room come large living room large bathroom 2 large outdoor lounge area toilet sensorbuilt coverlifte commode commode also come complete remote control special bidet function really enjoy stay spacious suite big thank fullerton reception staff give onceinalifetime vacation
161,local staycation,2022 - 06,4,check efficient service staff polite helpful room wellfurnishe many amenity mention hygienic view balcony though well really put perspective close cbd
162,staycation,2022 - 06,5,service staff cleanliness room superb small little gesture tgat make ny child happy free ice cream enjoy 3 day 2 night staycation second visit year look forward come back
163,great hotel location history,2022 - 06,5,great stay welcome staff room well maintain easily accessible lift side great variety restaurant michelin star restaurant also house dine jade great experience
164,ok,2022 - 06,3,build beautiful location perfect close marina clarke bay many shop restaurant room fullerton beautiful town restaurant experience good happy service hotel
165,service beyond excellent great food,2022 - 06,5,would like commend courtyard team especially mr lalikumar gentleman prompt warm hospitality visit yesterday request vegetarian regular set meet reach place food also serve fast top 2nd help refill also initiate mr lalikumar team without prompt indeed impressive feel welcome sweet savoury along tea free flow price quality feel great value money also feel great idea vegetarian set enjoy tea non vegetarian friend also complimentary parking nice gesture recently tea hotel around area commend courtyard afternoon tea still good manpower shortage industry observe hotel server table ratio nail customer experience well fullerton hotel good job team fullerton courtyard back
166,well hotel fairly avaerage,2022 - 06,3,stay 711 june 3 room hotel think fair say hotel cut heavily due covid exact breakfast every day spread also fairly average mother vegetarian breakfast every day 4 day stay hotel call fullerton express service bare basic one ever answer call hotel late night room service room dining menu bare basic book room sgd600 per night thing bare basic pay kind money hotel staff also average warm suggest look hotel treat well money pay also still keep price offer full service half visit singapore often hotel worth never stay
167,home away home,2022 - 06,5,recent stay fullerton able convince almost completely experience begin airport prebooke private escort service airport transfer stateoftheart e200 mercede limousine great delight able check room marina bay view access strait club early 900 generously give opportunity second breakfast strait club could already use arrival day main reason trip sightseeing room locate seventh floor equip standard set highlight certainly small balcony view marina bay coffee sunrise sundowner view daily light show also convince location many sight within walk distance distant destination mrt station virtually right outside front door cab much cheap germany example stay even special make time strait club form virtually framework tranquility exclusivity start excellent breakfast buffet egg dish order afternoon tea daily change savory sweet dish buffet wide selection twg tea evening cocktail change canap choice different time slot allow individual adaptation one daily routine case always nice come home exciting day would like especially emphasize crystal job full conviction joy also time exchange experience also new plan tip come day kind service stand crowd remain memory finally however also comment regard potential improvement namely regard concierge staff whose standard already criticize previous review opinion staff hotel category greet guest especially guest accord also despite rush hour friday evening possible give certain level manner order cab okay point finger wordlessly show directional instruction also okay guest transport luggage cab almost lift cab remember checkout process last moment guest course remain emphatically guest memory
168,another happy stay,2022 - 06,5,family stay premier collyer suite 2 night 810 june try stay every year place wife marry every year spoil wonderful service beautiful hotel year pandemic slowly ease singapore normal service slowly resume mean buffet spread strait club breakfast tea evening canape something miss get club access particularly enjoy afternoon tea great selection tea famous scone staff club attentive care friendly really make big difference time around though get use amenity ease pandemic also mean different facility eg gym pool accessible without book convenient room premier collyer suite spacious well maintain room offer really beautiful view singapore river central business district singapore location wise hotel well locate heart central business district unique architectural marvel preserve national monument middle extremely modern part town make wonderful experience traveller local staycationer alike
169,terrible birthday staycation,2022 - 06,1,staying room 502 mattress topper trap heat make sweat like mad middle nightand pillow soft make suffer stiff neck house keep lady miss june tell problem hope management solve problem picture show flooding town restaurant breakfast time bad staycation
170,one good hotel central singapore,2022 - 06,5,excellent room size good service class greet customer smile helpful staff swim pool great crowd hotel good class love visit sg hesitate stay even night stay
171,firstclass hotel let secondrate service frontliner,2022 - 06,4,everything go swimmingly well final morning wait staff allow selfentitled bunch caucasian guy jump breakfast queue seat ahead family next line
172,exceptional service fullerton hotel singapore,2022 - 06,5,stay marina bay view room 3d2n indeed great stay tip top service strait club lounge siti nicholas team thank much great experience daughter enjoy color activity ice cream great way keep busy definitely come back
173,staycation fullerton hotel,2022 - 06,4,overall good staying experience fullerton hotel however experience jade normal first staff mention need 3 week secure table jade able know unless notification hotel even notification normally book staycation 3 week advanced take note thank
174,enjoyable stay fullerton hotel,2022 - 06,5,fullerton hotel live good name enjoy stay property staff friendly warm good experience dine town restaurant good variety fusion cuisine asian continental breakfast food choose fullerton bear give gift also adorable
175,fullerton great hotel,2022 - 06,5,fullerton perfect location bank singapore river staff welcome room nice great views bay airport transfer efficient
176,fantastic wow,2022 - 06,5,stay esplanade room great view marina light music evening show room luxurious large comfortable breakfast excellent provide taste staff helpful polite efficient hotel must good location within walk distance boat quay china town attraction fantastic six star hotel recommend
177,perfect staycation,2022 - 06,5,first time check fullerton hotel singapore safe say perfect staycation soon check yesterday greet warren vergara naluz front desk accommodate friendly experience get well hotel room clean view hotel room spectacular look forward next staycation fullerton hotel singapore
178,excellent stay,2022 - 06,5,stay 3d2n celebrate little one 1st birthday service excellent round staff love entertain little one receive free colouring book crayon set huge room size tub heated pool guarantee happiness little one us parent happy room comfortable inroom dining food excellent could walk mbs around singapore river enjoy view highly recommend stay well definitely back
179,good hotel singapore,2022 - 06,5,good hotel island good location comfortable room great staff service good team surely come back hotel breakfast nice view direct river
180,great stay,2022 - 06,5,great stay family kid activitie good service food child love colour book crayon free ice cream koi fish feed excellent thank great stay
181,memorable stay singapore,2022 - 06,5,check birthday eve girlfriend request staff early room decoration helpful sending option check arrival upgrade one suit 8th floor marina bay view city view since friend room perfect soire staff extremely helpful warm particular anna haqkim jason guest recognition team super helpful kudo keep good work definitely would recommend people stay fullerton hotel 100 value money amazing location
182,staycation fullerton hotel,2022 - 05,5,wonderful stay hotel due wonderful people service provide email correspondence stay hotel always promptly respond request duly look arrangement fulfil far kudos reservation team check smooth crystal friendly n helpful ensuring room ready soon arrival n give room good view staff strait club wonderful attentive n helpful especially lucy jar zed lucy especially kind grand nephew make stay memorable old one cry way home thank birthday cake champagne ice cream child concierge helpful accommodative mark another gentleman koi pool friendly n kind child child enjoy feed fish much look forward next day nephew n family dinner town restaurant n comment food service great great stay hope go back
183,expect nothing less,2022 - 06,5,room face marina bay view gorgeous hotel great buffet spread locate conveniently raffle mrt station issue find lack food option sunday also near cbd food option available monsat
184,nice room poor service,2022 - 06,2,hotel nice room service staff bad multiple front breakfast buffet really poor quality strongly recommend breakfast outside hotel jade restaurant dinner excellent service great overall would recommend hotel trip business trip even business trip stay hotel much well valueconven
185,perfect birthday staycay,2022 - 05,5,already provide spare bed son upon check manage get early check well also discretely plan surprise boyfriend bday flower thank u service excellent really great birthday staycation room service excellent bring ice water prompt friendly staff friendly polite well even check doorman also take initiative help luggage service really excellent bed extremely comfortable sleep well thank fullerton hotel definitely come back
186,staycation fullerton hotel,2022 - 05,5,really enjoy stay fullerton hotel enjoy room staff really understand towards guest like also love spa service highly recommend hotel people plan next holiday singapore
187,family stay fullerton,2022 - 05,5,service prompt efficient service staff informative polite friendly checkin efficient overall experience seamless room clean well maintain overall family enjoy
188,enjoyable staycation,2022 - 05,5,enjoyable 3d2n fullerton hotel room cozy nice location hotel superb boy love stay pool time complimentary daily ice cream kid
189,luxurious hotel,2022 - 05,4,luxurious hotel set middle city nicely connect place attraction get around place little tricky though require stumble around locate various eatery carpark surround amenity
190,fantastic strongly recommend night view pool side boutique boutique hotel,2022 - 06,5,boutique boutique hotel stroll alongside fullerton water front clifford pier merlion park marina bay experience essence heritage lion city strongly recommend enjoy swim pool fantastic night view pool great privacy
191,proposal visit,2022 - 06,5,great room great service around propose room order room service food champagne lovely deliver nantha really helpful really polite east talk provide great service
192,lovely stay excellent service,2022 - 06,5,partner stay room face marina bay sand lovely view day night smooth checkin counter courteous staff round order room service serve nantha friendly professional lovely stay come back
193,fullerton wedding 27 may 2022,2022 - 05,4,palladian suite good view face singapore river love balcony little small still comfy strait room banquet beautiful hall food quality standard food taste jade significantly well banquet manager jason proactive helpful wedding coordinator quite unresponsive email chase thing
194,birthday staycation,2022 - 05,5,checkin efficient manage get late checkout stay room clean slight hiccup bath tub room service fullerton staff amazing friendly birthday staycation arrange birthday cake room
195,teresa,2022 - 05,5,nantha friendly courteous well mannered professional reflect well hotel service standard whole attend swim pool attentive hotel guess safety believe train take responsible task
196,enjoyable experience pamper fullerton team,2022 - 05,5,book 2n palladium suite birthday celebration booking come strait club access impress room like 2 large mirror face bed geomacy reason happy spending time strait club socialise multitalente associate assist waiterwaitress check front desk staff bar tend arrangement require kudos wonderful team crystal siti paolo zep jared team strait club truly make huge pleasant difference stay fullerton miss warm friendly service
197,nostalgic experience fullerton,2022 - 05,4,overall great experience stay fullerton impressive room great service staff executive strait club friendly helpful unfortunately much food select breakfast high tea
198,excellent stay,2022 - 05,5,last trip singapore legendary sunday brunch time luxurious day stun hotel location amazing especially take breakfast outside terrace staff could helpful friendly love way showcase history hotel well yet appeal modern taste expensive recommend
199,beautiful excellent service,2022 - 05,5,staff fullerton put smile face gracious accommodate property gorgeous well locate perfect place stay person food allergy town restaurant super accommodate anticipate need ready every morning
200,staycation dinner buffet,2022 - 05,5,fantastic time stay staff polite warm hospitable especially love dinner buffet excellently attend mr lalikumar friendly attentive enjoy interaction also bring nice birthday treat kudo team
201,enjoyable staycation,2022 - 05,5,lovely time fullerton wonderful room nice birthday surprise kudos room service team rajan hospitality impeccable presentation good birthday surprise among hotel 6star service
202,anniversary staycation,2022 - 05,5,wonderful two night stay iconic hotel grand old dame singapore excellent service clean room well locate heart central business district near waterfront lot eatery area
203,treat,2022 - 05,5,absolutely love stay fullerton budget shout 3 night end holiday disappoint well truly expectation time check till check staff amazing room superb comfortable clean quiet location great recommend fullerton highly enough
204,excellent,2022 - 05,5,lovely time fullerton everyone inroom dine great include nantha afternoon tea lobby amazing great experience wait come back time future
205,birthday celebration fbh fh part 2,2022 - 05,5,continue wife birthday celebration fullerton hotel 19 22 may fbh16 19 may excellent service warmth friendliness welcome always carry manager staff time arrangement marina view room beautiful face full view mbs bay morning breakfast afternoon tea evening drink strait club marvellous delicious nicholas team service superb sincerely wish thank sharon assisting room arrangement coordination fh fbh beautiful room birthday decorby michelle wife happy enjoy stay much jade restaurant regular guest chef leong alan arrange special cuisine wife birthday celebration year dine people service dinner outstanding michelin star appreciation fh team care past 4 day stay believe fantastic service people may miss cheer back fbh attend chef francis dinner 29 may jade chef leong alan wayne wei lun fong fred strait nicholas paolo siti zep crystal lucy anais jared intern lobbytown lallikumar camilla rey fabian lailanie front gabriel ren housekeeping dayturn team michelle san
206,3d2n staycay toddler,2022 - 05,5,extremely satisfied cleanliness size room great family young child need space expend energy kiddo love complimentary colouring set daily ice cream great location well perfect evening walk along river
207,beautiful night scene,2022 - 05,5,member check process excellent quickly bring room club lounge service fantastic friendly staff food yummy spread sufficient check smooth overall beautiful staycation husband
208,birthday staycation,2022 - 05,5,enjoy stay especially celebrate birthday nice hotel friendly staff enjoy hotel buffet breakfast food awesome thank staff fullerton hotel
209,great stay,2022 - 05,5,fullerton hotel definitely give one good experience singapore room spacious comfortable staff friendly helpful amenity provide also one well definitely stay
210,business travel,2022 - 05,5,exquisite architectural landmark impeccable history fantastic hotel excellent location v helpful staff convenient part cbd via city hall subway raffles place underpass
211,beautiful iconic hotel excellent location quirk aware,2022 - 05,5,truly spectacular property heart singapore everything gorgeous lighting furniture bathroom fixure impeccable staff everywhere might need good location make nearly every downtown trip walkable even singapore heat would note hotel fit previously post office design compromise particularly room small singapore hotel many room interior face vast lobby thus receive less natural light lift bit slow many available inherant design contraint due building layout fatal flaw something aware perhaps couple travel together long trip might want slightly large space
212,beautiful staycation,2022 - 05,4,fabulous stay birthday club room well worth complimentary lounge pool lovely staff super nice room furniture little date bed super comfortable quiet location
213,another excellent stay stay many time trip spore never disappoint,2022 - 05,5,stay fullerton 10 time year since open 20 year ago believe helpful service example anais waitress strait club thoughtful pleasant super professional french singaporian proud example team differentiate hotel many shld reconnte strait club 4th floor exceptional
214,enjoyable stay fullerton hotel singapore,2022 - 05,4,book room view quay pool good view good room good vibe balcony suitable include decoration prop proposal able control curtain well bonus overall wonderful experience host proposal fullerton hotel
215,corporate event awesome chinese food,2022 - 05,5,organize corporate event hotel food serve awesome chinese menu dish well present couple great taste service appropriate guest enjoy evening much great compliment food
216,clean quiet calm,2022 - 05,5,escape busy street walk away tourist attraction merlion marina bay sands garden bay shopping mall easy find would get lose great place relax revitalise great holiday stay
217,family staycation,2022 - 05,5,stay palladian suite two night toddler baby cot provide upon request room really clean tell even carpet clean usually case hotel access strait club part book frequent breakfast afternoon tea evening cocktail service time splendid enjoy time paolo lucy siti thank memorable stay
218,dine fullerton,2022 - 05,5,mr lalikumar greatest service staff dining experience due special dietary requirement meet every single request make ensure food quality hotel serve top notch quality love dine experience mr lakikumar server highly recommend
219,staycation kid wonderful,2022 - 05,5,great one day break fullerton room comfy bed perfect ambience cozy chance go back definitely walk distance one fullerton u find great outdoor view
220,worthwhile experience,2022 - 05,4,definitely something would recommend friend family atmosphere ambience place elegant fine service initiative welcome ready assist help need
221,0nenight stay,2022 - 05,5,memorable experience room gorgeous bathtub cozy techy toilet pretty bed ceiling balcony die perfect instagram photo people nice swimming pool clean beautiful see
222,awesome staycation fullerton,2022 - 05,5,great time hotel palladian suite impressive enjoy dinner jade restaurant frequent trip strait club satisfy staff friendly food good
223,wonderful experience gift shop afternoon,2022 - 05,5,like express heartfelt thank dedicated staff serve afternoon gift shop happily browse gift shop ready make payment purchase realise leave purse home catch dilemma panic payment thing afternoon mobile phone still could believe actually leave home without purse kind thoughtful staff annabelle offer option enable make purchase without hassle thank much impressed resolve skill thank annabelle make day save embarrassment hahaha hope see person express thank keep good work great annabelle service touch bottom heart
224,bridal suite fullerton suite,2022 - 05,5,amazing suite service excellent especially like fact fullerton suite come guest restroom help guest outdoor patio ridiculous well complaint
225,excellent service,2022 - 05,4,excellent location nice hotel good service checkin hasslefree satisfied room facility provide breakfast good server attentive building 100 year old architectural design fantastic
226,true gem worth revisit,2022 - 05,5,make quite stay past year team fullerton welcome beautiful national monument site would like thank sharon coordinate follow stay well rhea joshua liu revathy warren warm hospitality show across stay special mention joshua always consistently follow whenever issue raise simon housekeeping also provide warm friendly service meet turndown hour fullerton hotel also serve wonderful spread dish buffet breakfast certainly highlight stay quality also great definitely happy start day pancake icecream delicious thank shye rey team elevate dine experience wonderful place look forward head back
227,home home spoiling,2022 - 05,5,love place always return calm peaceful fullerton charm splendour oldworld newworld atmosphere location walk shop extraordinary view balcony much
228,great hotel could improve communicate guest,2022 - 05,3,wonderful stay fullerton great amenity breakfast location within walk distance many place underpass towards marina bay area however hotel could improve communication guest construction noise day interrupt rest room would well plan time hotel expect 5 star hotel high end price expect please inform guest early regard order make well decision
229,sunday brunch town restaurant,2022 - 05,5,ambience nice cozy window seat lovely view andersen bridge victoria theatre great selection seafoodand hot food fresh tasty order negroni delicious dessert surprisingly wonderfully plate yummyservice staff ms princess friendly attentive back
