,TITLE,DATE,RATING,REVIEW
116,would stay,2018 - 09,2,think hotel would read review location hotel perfect close dhoby ghaut station get easily major tourist spot without change line hotel recommend get room star buck around corner cocktail sausage hot chip pasta breakfastseriously juice milk synthetic fruit apple ad hoc water melon room extremely basic shower constantly go hot cold kettle apart instant boiler machine noisy good luck sleep tea coffee room pretty much non existent pack two mug two plastic spoon get replace hide want use entire stay couple plug room work half skirt board fall tv could get work room smell funny pool ok could make lot well little money pool furniture need upgrade get pool ok way back elevator work order stair go luckily door floor lock
117,economy heart city,2018 - 08,5,stay hotel family 4 day stay reasonable good comfortable bathroom small may due space crunch city ideally locate surround breakfast nice tasty overall stay comfortable early checking rate charge seem high booking trip factory
118,average hotel good location,2018 - 04,3,stay 3 night apr 2018 room quite small smelly bathroom bfast poor crowd group traveller location good near shopping mall orchard road good shopper
119,comfortable stopover stay,2018 - 09,3,comfortable basic room hotel situate within easy walk plaza singapura orchard rd room quiet clean check fast painless basic facility still worthwhile place stay business end town
120,common problem willing solve,2018 - 09,2,due last minute emergency trip sg book several place teammate one hotel book hotel chancellor location review however disappoint service checkin solve problem hour trainee help checkin evening fine supportive trainee see many company today receptionist front desk trainee smile face ok since understand one teammate give room far end many room high floor want ask change room however time tight next meeting therefore request meet around 11 pm frequent traveller many asian country extremely common client request room change due many reason see attitude unwillingness help truly disappoint first experience hotel customer service standard need well answer attitude customer well expect standard level hospitality sector sure front manager officer another staff office smile make whole experience seem uncomfortable feel like treat guest 3 star hotel training customer service attitude willingness make whole experience 0 100 good
121,unhappy customer,2018 - 08,1,poor bad service ever entire life hotel experience put room disturb somehow cleaner come clean anyway privacy matter next prior check counter girl come reqch counter ask conduct checkout counter raise hand stop talk take breath patience ask want tell want check give room card forget card still leave room respond like card go take wtf atleast courtesy say nicely bad service recommend poor
122,good location average hotel,2018 - 08,3,long expectation high hotelwa perfectly adequate close orchard rd bus mtr hop hop bus plenty shop location good lovely roof top swimming pool lap pool although use room towel bedroom basic hard pillow single bed 2cups 2plastic teaspoon toilet paper washing liquid disappointingtoilet paper give ask reception often well staff language bit barrier allow plenty time lift go luggage eat restaurant singapore holiday experience sure room cost
123,great location,2017 - 12,4,beat track close orchard road great little eatery beside hotel pavement cafe hotel lovely great view singapore room full length window swimming pool nice clean thing forget hustle bustle go around problem breakfast chaotic mess one new go even staff idea food unedible horrible segregate coach holiday breakfast breakfast look much well eat could stand hustle mess hotel call breakfast time
124,ok lah basic,2018 - 07,3,check slow enough staff work front desk midday room alright toilet bit dirty bearable access public transport good somerset mrt station checkout also slow 1 staff work front desk morning
125,recommend,2018 - 08,2,though good point generally disappointing room stay family idea stay different floor family member room end corridor room 754 far lift go room walk another door space 2 door small ridiculous bit scary room ok clean street view lamp little bit dim sleep lamp breakfast poor buffet choice repeat day crowd bread scamble egg boil egg sausage french fry thick nooddle notgood taste rice porridge creal milk coffee orange juice watermelon air freshener corridor good smell bit strong uncomfortable group tourist customer group tourist reception area often crowd noisy wifi hate hotel provide 50 mb free could use elavator slow always crowd water dispenser good thing far hotel include room provide hot cold water convenient location good shopping lover close orchard road within walk distance lot shopping mall
126,bad choice singapore,2018 - 07,1,book hotel stopover way home australia july hotel never 3 star maybe 1 12star arrive early room ready ok ask could go comfort room freshen direct dirty toilet stay singapore often generally offer swim shower pool arrive room disappointed move chair find floor underneath filthy room poor lighting open curtain fully readon checkout day tell male staff desk state room ignore leave bag storage area partition low barrier late flight come back retrieve umbrella find guy outside unload bus bag unattended could taken anything noone would notice budget hotel seem cater low cost tour group single night stay never stay reason pick location low quality hotel middle wonderful city
127,bad hotel ever hostel even well place,2018 - 08,1,trust bad review go something else even low price well standard think twice book experience painful personal request regard booking make many attempt contact hotel via email even via book platform place book avail nobody care reply concept arrive hotel room amenity slipper toothbrushe iron note directory bad staff want anything go reception beg never anticipate need give excuse telephone room break first 2 night go inform many time nobody care third day gave already finally get fix thank goodness poor breakfast sausage tasteless scramble egg bear pasta every morning bread cheap croissant provide together green lettuce salad vinegar dress french fry mash potato congee condiment one day pancake also tasteless surround unfriendly staff especially reception area grumpy cold face emotion talk youthey lend iron ask work iron table smell full mold bathroom also urine smell mold find around shower wall shower curtain room key work go check receptionist act like stupid according system key working normally say receptionist insist work eventually get new key guess also workfinally bellman escort room test key also work open door use master key ask come change another key later instead get new key deliver room speechless 3 star standard hotel customer group tour time go guide tour day need take care much poor independent traveler pay much high room rate hang around hotel day long hotel tire take care
128,overnight stay,2018 - 07,2,really average suit downgrade domestic market good photo look good place miss feel expensive less happy staff helpful busy glad move
129,really bad option,2018 - 08,1,hotel complete disaster deserve three star start reception desk totally luck organization besides reservation king size room provide twin bed explanation reception lobby suck room small dirty sticky tv work swimming pool towel person duty recommend
130,comfortable affordable,2018 - 08,3,checkin breeze help fast efficient helpful reception staff room midsized view differ though depend face bed comfy clean towel fluffy wifi decent time though work snails pace breakfast let put way dish could say satisfied sweet watermelon french fry well buy bread outside enjoy room coffee get pretty crowded summer peak season location good since metre away dhoby ghaut station
131,worth money,2018 - 07,2,problem room normal 3 star hotel type room room however start hallway parent give 2 separate room different floor main problem know happen 7th floor smell ginger hallway start lift everywhere however visit 8th apparently ginger smell concern hotel need put different air freshener ginger spray freshen pls change comfortable next receptionist take long process check wait 1520 min even though get 1 person front turn understand take long trainee handle everything think china mainland really fluent english trainee also need ask supervisor everything take long next thing housekeeping ask extra pillow 9 pm apprently housekeep close give extra pillow stay hotel usually receptionist service open 24hours come back unless fix really significant promo
132,affordable hotel orchard,2018 - 07,4,fancy quite old hotel 4night stay go well orchard location great 2 minute walk tofrom somerset room big hotel orchard need available free wifi clean room like inroom water dispenser save money buy bottled water everyday haha stay
133,work sleepover,2018 - 07,2,really bad breakfeast badno wifi houseclane chancellor get two star ok pool area ok room planning spend time hotel besides sleep part keep search must well alternative
134,tourist hotel close orchard road,2018 - 07,4,tourist hotel lot people hang foyer wait transport close orchard road 2 minute close mrt 7 minute walk surprised room quite adequate stop visit clean hot water dispenser bit noisy road couple negative girl want clean room early put disturb sign shower curtain really appropriate keep unhook huge overhead shower head lovely desk staff harass helpful pay extra late 6 pm check luggage hold area yoy wait transport would stay againout time shopping sightsee basic hotel adequate
135,good location orchard,2018 - 06,3,good location orchard lot shop nearby room nice expect stay nice 1 deception check manager rude bad manner talk guest ask early check travel daughter 3 year old discourage 1st day arrival hotel learn tourism industry welcome people important overall stay comfortable nice
136,family hoilday,2018 - 07,3,great location 2 room travel family 4 room small care wer hardly room roof top swimming pool great cool perfect place relax noise air conditioning unit also room 2 clock 530 u night club hear heavy music could hear kid room offer change suck good hotel price 3 star
137,travel 2 adult toddler good,2018 - 06,4,firstly good hotel nothing special feel budget great location porter fantastic arrival leave check fine need pay full stay checkout slow could find paperwork taxi call load wait 10 minute let go tell everything pay also wait quite behind someone also check issue staff around 1 serve checkout checkin hotel quite large amount tour group morning would 5 coach ready load first night arrive find traffic noise quite loud neighbour next door could easily hear ask could move room fully book next morning open curtain great view garden highway noise seem bad get use loud motorbike seem around first night room small fine 2 adult toddler double 1 single bed configuration foot end bed mattresse average house keep good turn hot water dispenser night noisy room air con set 24 left room could adjust less 22 degree room fine laundry outside right next staff smoke 6 wash 6 dry good part hawker food outside brilliant even western stand could get corn carrot broccoli 3 year old really great location could walk red line circle line ease cold storage supermarket close would come back probably would spend get well room somewhere suit 6 night go sentosa 4 night
138,close orchard road,2018 - 06,3,close orchard road small hawker corner nearby excellent availability transport small room limit food menu number bar entertainment area place stay want spend lot time hotel helpful friendly staff
139,bad hotel recommend anyone close property,2018 - 05,1,1 smelly room inform start stink smell within room act upon 2 non street face room wall face room select premier room atleast client get street view city view room could reduce level hit take order select 3 tissue room call reception ask tissue send room two room 6 one half hour send level hospitality face 4 rude staff reception even go reception complain thrice four time would speak revert regard issue
140,good place stay,2018 - 06,5,stay hotel business trip think good hotel location near orchard road strategic hotel lobby quite big limited receiption guest many must patient check room wqs quite big quite complete refrigerator water dispenser toilet quite good also think hotel recomende people want stay near orchard road
141,good location,2018 - 05,3,stay chancellor 3 night may 2018 hotel locate orchard road convenient travel ware mrt near bus stop also next taxi stand front hotel hotel crowd specially lobby area guest indian noisy time room convenient clean city view amazing food average find may food court near area recommend good midrange travel friendly hotel
142,good location average property,2018 - 06,3,location property good right orchard road famous mall within walkable area even mrt station dhoby ghat one want visit little india somerset mrt singapore zoo 10minutes walk bus taxi easily available outside hotel experience staff especially lady reception good quite accommodate helpful breakfast limited option vegetarian property may seem overprice consider price charge word one pay high price location look hotel orchard road budget consider nearby hotel concorde hotel holiday inn may expensive
143,good stay rude behavior staff breakfast area,2018 - 06,3,good small equip room good part water dispenser view hotel room 827 superb come breakfast section cafe locate 2nd floor timing 7am10am enter 940 tell would get close 10 right allow people continue eat enter well 10 surprise guest include ask move exactly 10 breakfast rude beahviour staff otherwise hotel nice 5 min walk dhobi ghaut mrt shopsmall nearby visit june 2018 family
144,bad,2018 - 06,2,room pretty good despite comment reasonably sized compare stay throughout europe bathroom fine although bit cramp shower bath breakfast complimentary total disaster worth effort lobby terrible chinese restaurant well worth visit
145,staff attitude super bad,2018 - 06,2,always trust sg would country 5 star service come hotel receptionist cold rigid nothing key card unable use one even say sorry lobby always crowd one even try manage anything include duty manager sure thing chancellor locate nice easy go shop
146,bad experience hotel singapore,2018 - 06,3,room service poor ask anything bring 45 reminder hour breakfast bad hotel staff ready serve even count sugar packet positive good area singapore
147,okok hotel,2017 - 08,3,hype one good budget hotel little disappointed staff poor attitude mark like care check time strict bit nice arrange early checkin
148,diappointe poor service,2018 - 06,1,check 6 discover booking cancel know show book bookingcom advise email would arrive next morning date book early flight time arrival booking com rely email advise hotel hotel say record interested try show email response confirm arrival time wait find room 13 hour flight room clean second pillow available tell full house ask room service toast get warm bread understand ask stay two year ago standard go since stay
149,good hotel,2017 - 07,5,nice place close mrt easy go anywhere good clean nice staff thank good holiday sure back july 2018 see sooon thank much
150,disappointed care attitude,2018 - 06,2,arrive family young 6 8 pm one family travel end staff decide change booking already pay small room also take breakfast option well pay advance challenge tell take travel agent wake one morning hot water tell look 10 hour later still hot water request another room access shower able accommodate staff least bite friendly never smile basically rude whole stay 8 day overall disappointing experience would never go back place would pay extra find somewhere little nice staff need lesson polite customer service
151,nice hotel,2017 - 07,5,stay day good place family visit basic amenity present breakfast excellent centrally locate get taxi bus service anytime food expensive surround place decent eating place cafeteria
152,chancellor orchard,2018 - 04,3,hotel centrally locate tell many bathroom small staff need courteous ask glass drinking water around restaurant staff say give water buy bottle drink bit take aback hear customer centric attitude lack breakfast much option seem dump around rather arrange good hotel need little customer centric appoach
153,functional basic clean,2018 - 04,3,really well locate hotel ideal stopover long haul flightstravel efficient front desk reception area nothing offer check check concierge service sitting drink people watch little convenience shop corner lobby souvenir snack toiletry within stone throw major shopping mall street weary traveller room spotless comfortable price right
154,location location,2018 - 06,3,plus location room bathroom small price guess get pay breakfast include go rainy morning expensive 27 incl surcharge 1 boil egg finish coffee plus orchard central min walk breakfast every day 8average book deluxe room double bed arrival upgrade premium twin delight reason high floor think two man share double well two twin bed single bed smallest I ever see life like prison bunk anyway tell 4 night positive family hotel noisy hotel guest mainly indian filipino could hear shuffle noise room downstairs foyer everyday like airport lounge wait go tour plus discovery chinese restaurant peranakan cheap serve nonya food good beef rendang I eat life
155,bad like comment,2018 - 06,4,stay 7 day include extend stay twice room bit small bathroom job clean everything want close city recommend people helpful staff
156,good price location,2018 - 05,3,pro unlimited drinking water provide con shower area small breakfast 5 day might provide food every morning warm nothing vegetarian fruit bread early checkin
157,hotel chancellor singapore well day,2018 - 05,2,location plus orchard street public transport etc plus hotel chancellor well day average room maintenance well clean breakfast hotel totally worth get far well 7eleven around corner foodmall orchard plaza
158,location good,2018 - 05,3,yes average hotel facility like swimming pool breakfast room service etc room big clean give triple bed couple 2 kid good recommend
159,rude duty manager,2018 - 03,2,early check duty manager mrshahulhamme inform vacant room understandable inspite sit right front allot room guest question show time say still 15min leave call housekeeping thatfinally get room 1 hour latepathetic behaviour
160,old heart everything,2018 - 04,5,room much write home 25sqm feel really old serve awesome breakfast staff accommodate even dead night good part right doorstep criss cross mrt bus line get wherever need go fast hornball among girlie bar right behind hotel filipin type take family back unless want see gal jiggly bit
161,bad customer staff,2018 - 04,1,pay premium 1 queen bed room assign 2 twin bed room small bath tub horrible need lift foot high order get area compact always bump shower glass wall carpet room dirty always lot people lobby wait tour loud talk inside hotel area eg elevator stay 0423 thru 25th april price dirty noisy hotel
162,smelly hotel,2018 - 04,1,even though hotel rate 3 star doubt besides smelly unpleasantly dirty amenity room even tooth brush tooth paste soap 2 people entire stay one shower cap 2 people one sanitary bag shampoo body wash come container state refill check time slow ready wake least 30 min check even dead tired long hour flight breakfast get variety quality none waiter checking room number totally overlook foreigner ask wait attend asians breakfast area take care well show attach photo stay hotel happy smelly room corridor singapore street clean hotel
163,much bad go,2018 - 04,1,return holiday experience good bad hotel asia cruise singapore princess book overnight stay hotel chancellororchard journey next destination hoi vietnam 7 day travel back chancellororchard three night return home first experience forewarn arrive 8 pm ask dinner either caf restaurant hotel desk clerk tell bistro open 10 pm last order take half hour prior closing time take lift see advert confirm time introduction room go bistro 850pm lock tight sign life maybe open night go local food hall settle night draw bathroom door squeal loudly track try make cup tea hot water dispenser lukewarm water also room temperature chill water safe room lock could store valuable switch tv try game find channel except one bad screen jump around sound next morning go breakfast prepay mostly asian enough selection adequate breakfast go inform desk clerk defect room duty manager arrange service person attend defect result tv leave work safe unlocked useable hot water dispenser adjust could get boiling water although cold water remain lukewarm hot drink although bathroom door suppose mend squeal loud bad experience occur breakfast next morning approach door ask room number guy ask look document turn tail leave young assistant look idea look ask help old assistant dismiss young boy start look state daughter adjoining room breakfast pay challenge tell call reception check instruct step one side whilst pay guest could make way past several pass could see get quite irritated tell sit whilst continue check say want breakfast want sit whilst I treat thief walk away another man come tell problem tell go get breakfast whilst check five minute later come table tell one two room pay breakfast tell go away go see duty manager minute later go reception clerk book confirm duty manager pay breakfast complain severe embarrassment detain treat group thief
164,expect,2018 - 04,3,shocking room lock sure first time room let customer easy first day arrive tell counter twin room tell 1 available wen get key room queen bed get go lobby tell another gal n get change wat hassle
165,decent hotel great location,2018 - 01,4,must say go india little disappointed size room bed location view hotel make orchard road one posh area singapore wanna shop brands place hotel definitely great neighbourhood whether wanna go shop head fine dine restaurant even take pick singapore street food everything close vicinity hotel minus room size pretty good love hospitality cleanliness breakfast hotel also great look budget hotel decent enough stay offer great location think twice hotel perfect
166,perfect hotel location food grocery,2017 - 05,4,excellent location hotel follow advantage nice courteous staff general store inside hotel lobby well maintain room bit small per need sleep night rest day business vacation easily get taxi go anywhere singapore good thing uber singapore advice take local sim card book uber per convenience 1 multiple cuisine hotel right opp hotel say street side hotel try tea pronounce teoh singapore well maintain indian chinese singapore cuisine restaurant 2 general store daily need even get local sim card owner much reasonable rate get 15 sgd ample talk datum time 3 orchard road 5 min walk orchard road multiple mall many many option food shopping option famous shopping 4 somerset metro station go anywhere singapore attraction visit like singapore flyer garden bay sand bay etc 10 sgd
167,nice hotel,2017 - 08,4,nice hotel singaporelocate popular tourist attraction orchard road major tourist attraction r nearby hotelroom clean staff also goodroom r available budget much costlybreakfast goodarea poshgenerally group tourist stay muchoverall nice hotelgive try enjoy ur stay
168,avoid avoid avoid,2018 - 03,3,unless travel huge group mind surround dodgy ktv bar massage shop room ok 3 star level hotel noisy loud people corridor crowded group traveller probably business traveller hotel
169,excellent location room small breakfast disappointing,2018 - 03,3,stay chancellor singapore holiday hotel good location term connectivity proximity metro get around sgp definitely use mrt get card airport system brilliantly connect singapore hotel clean neat hous keeping efficient pretty helpful however disappointed breakfast service end eat day since pretty bad cold sausage semi raw egg weird corn milk kind thing fruit decent many also croissant danish strictly ok well head instead room small pretty well organise mostly go crash really matter want bathtub may need book premier room tiny shower tldr clean small room give breakfast miss worth book location
170,suitable business traveller,2018 - 02,1,extremely poor quality room even premier room like room small inn guest house value money staff good location good fit business traveller bus load tourist occupie area hotel noisy conceirge service take bag room nut shell value money charge half
171,singapore hotel note,2018 - 02,4,hotel right middle shopping district orchard road staff friendly willing help even 1 oclock morning room clean good wifi free service every day unfortunately hotcold water dispenser working correctly manage fix 3 day stay varied breakfast include room price reasonable thing bacon meat sausage except chicken available service fast friendlywe would stay
172,location good much else,2017 - 08,2,hotel well situate near mall transport route room tiny decent couple family 2 elevator constantly full option getting room
173,hotel chancellor stay elsewhere,2018 - 02,1,stay 1 week room small clean tidy negative reception staff slow really care breakfast food every day cold bland complain food cold response I cook pay tv normal channel less average watch reception poor location near taxi rank bus stop shop issue orchard road designer label shopping bargain stay orchard rd would definitely stay hotel travel singapore would recommend sentosa island place stay
174,location amazing good property,2017 - 03,4,stay hotel good part location everything walk distance 200 meter away get little india mustafa market hotel really clean good room average spacious go high room get good view city breakfast good would recommend indian traveler
175,location good stomach rest,2018 - 02,1,book premise agodacom picture like many booking engine well look reality know always leave little room disappointment arrival everything seem fine even warn everything asian size weird seem need mention specially regard bed although bed location positive thing comment even present wait housekeeping come deal ant crawl around toilet bowl half hour even 2 phone call mention call upgrade room wonder upgrade refer small foyer main door lead room first morning reception crowd leave evening comment thing miss room evening 2 lady buy ice cream walk back hotel eat upon arrival drive way conversation amongst speak porter one sayingcoole body ice cream may line chat irk nevertheless speak way male company could help say usually cool cold water maybe try go reception complain absolutely filthy window one room long black hair fold towel make big issue reassure would dealt morning friend mention bathrobe indeed asian size difficult use go pool area upon young man reply laughingly check vendor would look sexy small one perplexed comeback mean fall mouth needless say window still filthy bathrobe small towel still contain long black hair pool roof top tend sun bed chair table pityful condition pool seem clean much chlorine city plenty hotel price range book one orchard road good location notice public transport taxis cheap need right middle long drive distance 15 minute taxis really really cheap repeat public transport everywhere
176,horrible hotel stay,2018 - 02,1,room smelly toilet smell room ventilation poor bathroom amenity provide one cheap shampoo hair body nonrefillable one utilize cheap shampoo understand emphasize nonrefillable make service even cheap staff wear unfriendly face respect guest food beverage poor breakfast starch meat vegetable swimming pool without service amenity look boring clean bad hotel ever stay horrible
177,location,2018 - 02,4,encounter problem check check concern staff especially work counter please train entertain guest customer service damn bad anyway love location close everything orchard road house keeper put disturb please enter room change towel
178,litigation horizion stay,2018 - 02,1,place standard singapore 3 nothing remarkable except price airshow week fault book last minute hotel recently take rename refurbish room good condition pool nice breakfast buffet ok internet fast sheet cleen water hot one circle climb tiny bath order shower involve swinge around glass partition pray slip especially get wet bath way bathroom meet health safety standard mention manager checking say aware problem stay unless bathroom fix stay room 1008 n
179,awful terrible service bad hotel may find even dormitory would nice word describe,2018 - 02,1,personnel really ill mannered breakfast beyond awful recommend hotel anyone greeter breakfast even smile even greet rude impolite wonder call hotel
180,reception lose simcard,2018 - 01,1,bad service visit hotel 26 27 28 january 3 day room 415 come back vietnam send sim card mrt card friend put envelope give mrs jane royo reception friend come pick week open envelope lose sim card put mrt card another envelope text photo text write mrs jane royo
181,average location,2018 - 01,3,well read review many traveler hotel highly tangential opinion either stay 4 night since tight schedule somehow survive agree singapore expensive space premium room small stay family 2 small kid 8 4 3 bed manage squeeze reception super busy 100s tourist wait transfer checkin please expect invite disinterested receptionist probably overwork must say one thing appreciate allow early checkin life saver give travel way hyderabad super quick tour room sup small water dispenser lifesaver bathroom hyper small shower area hard negotiate nevertheless minimalist stuff shampoo body wash mix breakfast area unclean simply super crowded tourist table unclean unkept housekeeping simply could keep food average though try attempt make thing available vegetarian vegetarian expect manage eat bread slice go place wish stay near orchard road get shop unfortunately book agent plan schedule wish take place airbnb friend recommend
182,location,2017 - 08,2,great location breakfast buffet standard variety stay 5 night everyday offer plate wash properly service staff restaurant rude recommend
183,staff unwelcome unhelpful,2018 - 01,2,arrive uk 630 follow long flight greet disintereste receptionist prepare register find right person easy organise store luggage could go sightsee staff duty later helpful really training need make hotel one recommend ask sign mediocre expensive breakfast half way room ok bed hard ask topper blanket throw poorly train member housekeeping team towel fortunately arrive minute shower shower gel dispenser replace shower without surprisingly 1 teabag per person per day provide free disintereste receptionist seem oblivious ludicrous nature rule organise one teabag second cuppa reason 2 star swimming pool excellent clean 28 pretty good
184,dirty hotel incompetent staff bad hotel ever stay stay away,2018 - 01,1,never stay bad hotel let go pain 5 night 17th 22nd january book two room family five include three kid age 14 12 9 going put separate floor point able get two room 3 door away check find black mound throughout one bathroom bathtub clean long whilewe make complaint take 2 day move wife picture two separate day go toilet ground floor use frequently guest find soap dispenser even bring attention assistant manager first day even bother refill imagine unsanitary people use toilet washing hand soap touching door elevator button even care ground floor toilet also fill sewer fly cause dirty pipe ie fly lie egg pipe bathroom floor eat assorted gunk pipe lie egg pipe hatch fly bathroom floor gratei video evidence two day without soap foyer constantly fill tour group always noisy wait see staff reception never get seat wait room basic one small side table put stuff garbage use diahe place outside room top bin outside elevator pick two day pressure shower use cheap shower head get separate shampoo conditioner rather one cheap nasty liquid dirty dispenser bath tub breakfast bad ever encounter basic noodle smelly kid leave table sit another table opposite side room beavuse could stand smell breakfast eat breakfast 4 day assistant manager john chew incompetent lie discuss feedback dirty bathroom mould smelly breakfast hotel manager deliberately hold tell morning leave hotel would compensate offer late checkout even though tell want first night get dirty hotel stay long also offer transfer airport even though aware already transfer organise pool top floor would like relax pool suggest bring noise cancel headphone sit next twenty air conditioning unit blast noise behind cheap plastic lounge chair demand see hotel manager meet danny koh half hour due leave transfer airport agree refund night accomodation shake hand lie receive email state book agent hard time refund one night accomodation intention first place whole situation put dampener stay singapore favour avoid dump even cheap option still want certain standard forward photo video relevant health authority singapore hotel fit function
185,absolutely atrocious,2018 - 01,1,stay 5 night hotel family 5 3 kid check could get room floor despite request interconnect room eventually give 2 room floor opposite end hotel divide conquer room mould around bathroom shower curtain room filthy pay breakfast 5 day approx 20 per head food inedible buffet style coffee machine break frother could purchase cup bar 6 cup room access key keep decode leave lining lobby area get back room hotel foyer always crowd large group sit 12 chair foyer hotel reake dampness sour smell good day day departure give pro would location money could stay holiday inn far superior air concern continually chase response take 2 day change mouldy room substandard room next door room disappoint amazing holiday end stay hotel disgraceful opinion operation must say however porter helpful friendly
186,average hotel perfect locality,2018 - 01,3,family two adult three young child stay january 2018 interconnect room location perfect orchard road mrt station within walk distance buffet breakfast average asia hotel standard room comfortable room clean daily enjoy rain drop style shower head however tvs work require new remote battery free wifi limited pay buy three day wifi deal another obvious absence daily bottled water many asia hotel offer stay find hotel extremely busy morning evening hotel lobby crowd tour group india china south korea indonesia mean long queue crowd scene wait transfer etc would however stay hotel also lovely rooftop pool prove popular kid affordable nearby laundromat
187,good location,2018 - 01,2,three night hotel get reasonable rate online website room small one view package include breakfast food generally good westener tend aim aisian pallet use work singapore far well asian food take long refill buffet ask thing thereon good side swimming pool roof excellent
188,great location average hotel room,2017 - 12,3,front desk supervisorsalfonsoanthony good rest support staff room average quality averageit rather new smell pool great top floor well utilize
189,one bad hotel experience,2017 - 12,2,pay around 350 two night stay hotel really basic hotel minimal facility amenitie small swimming pool roof room clean spacious tv allow connect youtube breakfast buffet suck beyond definable term egg soak milk variety limit worth pay breakfast service provide front desk swing end staff friendly helpful include manager kim really bad service include room service quality wait hour room clean still clean return around 8 pm disappointing go personally front desk quite time really bad experience could one probably thing work around 350 spend could put u well hotel quality food uptostandard service
190,3 nite stay,2017 - 12,4,location good 10 minute strool either sommerset orchard dhouby ghout plaza singapore good staffreception thumb upthough group check staff last minute duty still open helpfully finished check well 10 minute arrival 07 dec afternoon around 4 stay room 1047 room ok bfast ok wife love spring roll serve ob last 2 day back hope service provide spring roll available
191,friendly staff breakfast location,2017 - 11,5,wife stay hotel night singapore hotel breakfast close orchard rd maybe 5 minute walkat able check arrival early 10 longhaul flight staff welcome courteous room clean bed comfortable yes hotel appear cater group hesitate book wife encounter group stay upside catering group lot room likely room ready arrival pleasant experience would stay
192,friendly staff,2017 - 11,5,staff reception really helpful despite fact ladt minute booking stay 4 night key card never work get breakfast nearby place eat near mall 5min walk hotel
193,value money orchard road,2017 - 12,5,book total 5 room hotel chancellor orchard stay period 5 daysnight hotel centrally locate orchard road minute away mrt countless malls restaurantsfood court room neat clean housekeeping provide excellent room service idea drinking water dispenser room gem since water expensive singapore breakfast buffet serve second floor quite nice healthy provide variety juice bread fruit yogurt etc swimming pool rooftop need visit least see skyline singapore good go guy definitely come
194,excellent budget location orchard road,2017 - 01,5,hotel centrally locate orchard road always stick whenever fly singapore within short walking distance 3 metro station mall restaurant even starbuck locate right block although room small compare hotel area facility look new wellmaintaine clean hotel also easy find since kramat lane area breakfast serve usual oriental one still delectable arrive early morning flight receptionist duty really attentive service really excellent forget even upgrade premiere suite instead double deluxe room reservation since flight delay choice early checkin manager nice waive fee preblocke room gesture really heartwarme surely definitely come back next time
195,one night enough,2017 - 11,3,first impression check poor litter around reception desk sweetie wrapper hair clip etc want walk immediately late tired tell receptionist room nice view room dark nice view straight onto back another hotel would hate see bad view room date dark basic amenity bathroom horror shower cubicle filthy hair soap scum wall shower curtain look awful glass door glass partition separate shower bedroom anyone need bathroom night bathroom light flood bedroom wake anyone try sleep wall mount water heater take two nearly 30 minute work good without morning coffee infuriate book book com room rate clearly state breakfast include decide factor choose hotel ask breakfast tell free would charge tell advertise include website look uninterested tell would pay try pool filthy bathroom leave question hygiene
196,basic well locate,2017 - 11,3,would say hotel would fall 2 hotel umbrella however location really good would recommend people travel couple night singapore would like spend time visit city really want spend much time hotel would recommend hotel extend stay room decent fairly clean rather small side breakfast lack term variety quality pretty dry tasteless food overall would say basic hotel good location term proximity various attraction mean transportation
197,renovation need,2017 - 11,2,location hotel perfect next orchard road center hotel need renovation quite old room awful dirty bathroom full mould scared touch shower curtain staff reception special friendly recommendation hotel
198,comfortable basic 3 star property orchard road,2017 - 11,4,stay 3 star hotel locate western end orchard road locate cavenagh road hotel provide basic comfort stay reasonable tariff offer great location singapore particularly gor tourist stay 7th floor pf hotel check fast room reasonable size large window view city greenery thete comfortable queen sized single bed write desk relax sofa corner refrigerator room safe room hot cold water dispenser room add bonus toilet bath tub instead shower enclosure supply toileterie par level 2 hotel bistro serve buffet breakfast 7 10 morning may lunch dinner bistro well swimming pool rooftop level good basic hotel value money sure
199,bad,2017 - 11,3,location hotel excellent good view picture near shopping center although room small wifi 100 mb low speed breakfast bad good
200,good location great front office service,2017 - 11,3,location hotel really convenient shopping mall around vicinity hotel front office staff really kind professional problem wifi glitch keep go every second room small bathroom would like recommend variety dish breakfast look plain dull basically thing everyday
201,handy,2017 - 11,3,stay 4 night right orchard rd plenty shopping right outside door room small fine sleep info book room look air conditioning set 22 hot us night nz put keep warm
202,excellent,2017 - 10,4,hotel clean pool rooftop get 50 mb free wifi room big deal since smart tv room browse internet play video youtube hotel locate close orchard street mall think near mrt station dhoby ghaut rooftop two pool one adult shallow one child also extraordinary panorama city near hotel corner street food use eat evening
203,ok,2017 - 11,3,stay one night pleasant enough two major factor hotel location couple minute walk orchard road many shop quite large swimming pool roof room quite small bit grubby feel especially carpet good rain shower bath room water nice hot reception area pretty crowd noisy little seatingthe reception staff ok go way visit singapore would definitely look alternative hotel
204,good price,2017 - 11,3,good roomsamenitie great location relation price pay hotel walking distance big shopping mall orchard road hitch rude manager type person check rate 3 star 4 staff good friendly
205,decent hotel decent service good location,2017 - 10,4,3 star hotel locate conveniently stone throw away orchard road good shopping district singapore service quite decent reasonable consider price inhouse restaurant server lunch dinner would recommend food outside room service operate 10 10 pm everyday breakfast free pretty good lot room hotel almost anytime see lot student crowd come neighboring country one small problem note hotel access card good often need reactivation hour got lock quite time card work overall pretty decent place stay day
